ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.f64, SumSQ.f64, Count.u64, Min.f64, Max.f64, Sum.u32, SumSQ.u32, Min.u32, Max.u32
T45C06_acam, energyPC, , Accumulator, 13497115000, 14, 1509580802.272916, 22254240198.585648, 102400000, 14.742000, 14.742000, 0, 0, 0, 0
T45C06_acam, energyREG, , Accumulator, 13497115000, 14, 4836302654.692507, 15789104824341880832.000000, 102800001, 8.170000, 3973550655.999999, 0, 0, 0, 0
T45C06__mpe, activeCycle, , Accumulator, 13497115000, 14, 0, 0, 620000, 0, 0, 620000, 620000, 1, 1
T45C07_ctrl, activeCycleF, , Accumulator, 13497115000, 14, 0, 0, 13497115, 0, 0, 13497115, 13497115, 1, 1
T45C07_ctrl, activeCycleD, , Accumulator, 13497115000, 14, 0, 0, 13285893, 0, 0, 13285893, 13285893, 1, 1
T45C07_ctrl, activeCycleM, , Accumulator, 13497115000, 14, 0, 0, 2291726, 0, 0, 2291726, 2291726, 1, 1
T45C07_ctrl, activeCycleALU, , Accumulator, 13497115000, 14, 0, 0, 9165893, 0, 0, 9165893, 9165893, 1, 1
T45C07_ctrl, activeCycleFPU, , Accumulator, 13497115000, 14, 0, 0, 1100000, 0, 0, 1100000, 1100000, 1, 1
T45C07_acam, energyCAM, , Accumulator, 13497115000, 14, 69872471099.025192, 929126964600.018433, 26316800000, 0.646400, 87.552000, 0, 0, 0, 0
T45C07_acam, energyDAC, , Accumulator, 13497115000, 14, 18455107.434941, 851477476.084525, 400000, 46.137769, 46.137769, 0, 0, 0, 0
T45C07_acam, energySA, , Accumulator, 13497115000, 14, 1843200000.000000, 33177599999.999996, 102400000, 18.000000, 18.000000, 0, 0, 0, 0
T45C07_acam, energyPC, , Accumulator, 13497115000, 14, 1509580802.272916, 22254240198.585648, 102400000, 14.742000, 14.742000, 0, 0, 0, 0
T45C07_acam, energyREG, , Accumulator, 13497115000, 14, 4836302654.692507, 15789104824341880832.000000, 102800001, 8.170000, 3973550655.999999, 0, 0, 0, 0
T45C07__mpe, activeCycle, , Accumulator, 13497115000, 14, 0, 0, 620000, 0, 0, 620000, 620000, 1, 1
T45C08_ctrl, activeCycleF, , Accumulator, 13497115000, 14, 0, 0, 13497115, 0, 0, 13497115, 13497115, 1, 1
T45C08_ctrl, activeCycleD, , Accumulator, 13497115000, 14, 0, 0, 13285893, 0, 0, 13285893, 13285893, 1, 1
T45C08_ctrl, activeCycleM, , Accumulator, 13497115000, 14, 0, 0, 2291726, 0, 0, 2291726, 2291726, 1, 1
T45C08_ctrl, activeCycleALU, , Accumulator, 13497115000, 14, 0, 0, 9165893, 0, 0, 9165893, 9165893, 1, 1
T45C08_ctrl, activeCycleFPU, , Accumulator, 13497115000, 14, 0, 0, 1100000, 0, 0, 1100000, 1100000, 1, 1
T45C08_acam, energyCAM, , Accumulator, 13497115000, 14, 69737538890.515030, 928616525262.543457, 26316800000, 0.646400, 87.552000, 0, 0, 0, 0
T45C08_acam, energyDAC, , Accumulator, 13497115000, 14, 18455107.434941, 851477476.084525, 400000, 46.137769, 46.137769, 0, 0, 0, 0
T45C08_acam, energySA, , Accumulator, 13497115000, 14, 1843200000.000000, 33177599999.999996, 102400000, 18.000000, 18.000000, 0, 0, 0, 0
T45C08_acam, energyPC, , Accumulator, 13497115000, 14, 1509580802.272916, 22254240198.585648, 102400000, 14.742000, 14.742000, 0, 0, 0, 0
T45C08_acam, energyREG, , Accumulator, 13497115000, 14, 4836302654.692507, 15789104824341880832.000000, 102800001, 8.170000, 3973550655.999999, 0, 0, 0, 0
T45C08__mpe, activeCycle, , Accumulator, 13497115000, 14, 0, 0, 620000, 0, 0, 620000, 620000, 1, 1
T45C09_ctrl, activeCycleF, , Accumulator, 13497115000, 14, 0, 0, 13497115, 0, 0, 13497115, 13497115, 1, 1
T45C09_ctrl, activeCycleD, , Accumulator, 13497115000, 14, 0, 0, 13285893, 0, 0, 13285893, 13285893, 1, 1
T45C09_ctrl, activeCycleM, , Accumulator, 13497115000, 14, 0, 0, 2291726, 0, 0, 2291726, 2291726, 1, 1
T45C09_ctrl, activeCycleALU, , Accumulator, 13497115000, 14, 0, 0, 9165893, 0, 0, 9165893, 9165893, 1, 1
T45C09_ctrl, activeCycleFPU, , Accumulator, 13497115000, 14, 0, 0, 1100000, 0, 0, 1100000, 1100000, 1, 1
